Membership No  Date Joined  Active  
    24692      2016-11-1    yes   
    54903      2018-4-13    yes   
    57743      2020-7-6     yes   
    48996      2020-7-17    no    
    61401      2015-7-7     yes   
    99054      2015-5-12    no    
    27581      2016-8-17    yes   
    72808      2017-2-14    no    
    27099      2015-5-2     yes   
    88643      2020-10-21   no    
    96324      2019-7-24    no    
    27924      2019-10-4    yes   
    90933      2019-10-2    yes   
    42483      2017-7-22    yes   
    46660      2015-5-8     yes   
    54537      2020-9-18    no    
    26648      2018-12-23   yes   
    95194      2015-2-20    no    
    29751      2016-4-3     no    
    49479      2016-9-19    yes   
