Membership No  Date Joined  Active  
    20871      2016-1-12    no    
    57885      2019-2-14    no    
    67455      2016-9-23    no    
    33892      2017-2-14    yes   
    14375      2016-8-5     no    
    12414      2015-7-22    no    
    54880      2017-11-15   no    
    98352      2016-11-14   yes   
    56919      2018-3-13    no    
    49865      2016-9-11    yes   
    82106      2019-5-20    no    
    68367      2018-11-6    yes   
    60041      2018-6-15    no    
    52917      2018-12-24   no    
    12148      2020-5-22    no    
    21673      2019-8-17    yes   
    48975      2017-5-8     no    
    16896      2015-3-7     no    
    67867      2019-4-7     no    
    47351      2017-5-21    no    
